name,city,location
"Powerhouse Brewing Company",Columbus,"[39.20251003,-85.92170119]"
"Rahr & Sons Brewing Co.","Fort Worth","[32.7368,-97.3276]"
"Hangar 24 Craft Brewery",Redlands,"[34.0831,-117.142]"
"Marinades Pizza Bistro",Rockford,"[43.1209,-85.5585]"
"Wing Nutz","South Jordan","[40.54126672,-111.980719]"
"Bns Brewing & Distillery",Santee,"[32.84627942,-116.9582416]"
"Project Pie","Chula Vista","[32.63060682,-117.0869671]"
"BJ's Restaurant and Brewhouse","Las Vegas","[36.015797,-115.118004]"
"Gordon Biersch Brewery Restaurant",Atlanta,"[33.843385,-84.372368]"
"Bj's Restaurant & Brewhouse",Mcallen,"[26.195129,-98.25944]"
"Ram Restaurant & Brewery",Seattle,"[47.66412289,-122.2980666]"
"Van Dyck",Schenectady,"[42.8165101,-73.94317775]"
"Sweetwater Tavern",Centreville,"[38.829315,-77.43901]"
BevMo!,Escondido,"[33.1125,-117.1024]"
"Garage Brewing Co",Temecula,"[33.486077,-117.144504]"
"Big Choice Brewing",Broomfield,"[39.9104,-105.07845]"
"Downeast Cider House",Charlestown,"[42.38269985,-71.05047226]"
"Starr Hill Brewery",Crozet,"[38.069092,-78.68753672]"
"Intrinsic Smokehouse & Brewery",Garland,"[32.913612,-96.637024]"
"Track 7 Brewing Co",Sacramento,"[38.538878,-121.482026]"
"Total Wine & More","Mc Lean","[38.931152,-77.179294]"
"Our Mutual Friend Brewing Company",Denver,"[39.76060651,-104.9825338]"
"Duck Rabbit Craft Brewery",Farmville,"[35.600414,-77.59628]"
"Thirsty Dog Brewing Company",Akron,"[41.06884456,-81.51766397]"
"The Draught Haus",Columbus,"[40.104404,-83.09119]"
"Manayunk Brewery and Restaurant",Philadelphia,"[40.022568,-75.21874]"
"Realerevival Brewing",Cambridge,"[38.57023838,-76.07758641]"
"Iron Horse Brewery",Ellensburg,"[46.99611386,-120.5485016]"
"Buckeye Beer Engine",Lakewood,"[41.47709,-81.80415]"
"Total Wine More",Spokane,"[47.74748,-117.40382]"
"Revolver Brewery",Granbury,"[32.417637,-97.67024]"
"Midnight Brewery",Rockville,"[37.69892,-77.66573]"
"Speakeasy Ales & Lagers","San Francisco","[37.73838696,-122.3809036]"
"The Abner Ale House",Norman,"[35.22138872,-97.44292873]"
"Legends Craft Brewery",Anaheim,"[33.815952,-117.89795]"
"Flying Goose Brew Pub & Grille","New London","[43.39957495,-71.9602896]"
Kroger,Houston,"[29.770344,-95.599036]"
"Old Market Pub & Brewery",Portland,"[45.465916,-122.748024]"
"Devil's Canyon Brewing Company","San Carlos","[37.49845,-122.243632]"
"Grist Iron Brewing Company",Burdett,"[42.47092786,-76.86581548]"
"City Steam Brewery",Hartford,"[41.768112,-72.673065]"
"Whip In Convenience Store & Pub",Austin,"[30.23795672,-97.73943965]"
"Ram Restaurant & Brewery - Tacoma",Tacoma,"[47.2793478,-122.475373]"
"Mother Earth Brew Co.",Vista,"[33.20242453,-117.2423704]"
"Spyhouse Coffee",Minneapolis,"[44.99888899,-93.2463878]"
"Broadway Grill & Brewery",Portland,"[45.5348,-122.64815]"
"Boulevard Brewing Co","Kansas City","[39.0821,-94.5965]"
"Robert Mondavi Winery",Oakville,"[38.5132,-122.4366]"
Kroger,Houston,"[29.753689,-95.604916]"
"Foppiano Vineyards",Healdsburg,"[38.589035,-122.84981]"
"Hailey's Harp Pub",Metuchen,"[40.54121601,-74.36098337]"
"HopFusion Ale Works","Fort Worth","[32.74157,-97.32472]"
"Offbeat Brewing Company",Escondido,"[33.10856433,-117.116704]"
"Milwaukee Ale House",Milwaukee,"[43.03351,-87.9097]"
"Brick & Barrel",Cleveland,"[41.48949,-81.700787]"
"Nevin's Brewing Company",Plainfield,"[41.65755,-88.20254]"
"Lennie's  (Bloomington Brewing Company)",Bloomington,"[39.17169277,-86.5113176]"
"Rochester Mills Beer Company",Rochester,"[42.6802,-83.1314]"
"O.H.S.O. Eatery + Distillery",Scottsdale,"[33.6276,-111.89348]"
"BJ's Restaurant and Brewhouse","Huntington Beach","[33.658108,-118.000946]"
"North Mountain Brewing Company",Phoenix,"[33.567978,-112.066376]"
"coop ale works","Oklahoma City","[35.523353,-97.53115698]"
"Nosh On Seventh",Portland,"[45.508,-122.6586]"
"Maui Brewing Co. Brewery",Lahaina,"[20.88026521,-156.6781282]"
"BJ's Restaurant and Brewhouse",Miamisburg,"[39.59796,-84.23268]"
"Concrete Beach Brewery",Lutz,"[25.80017911,-80.20075968]"
"Granite City",Lincoln,"[40.81458671,-96.63502067]"
"Uptown Market",Portland,"[45.47245,-122.77138]"
"Fogbelt Brewing Company","Santa Rosa","[38.449013,-122.72667]"
"Dryhop Brewers",Chicago,"[41.93938,-87.64401]"
"Glacier Brewhouse",Anchorage,"[61.217567,-149.89629]"
"Bayou Teche Brewing",Arnaudville,"[30.38991,-91.92611]"
"BJ'S Restaurant & Brewhouse","Fort Worth","[32.9099,-97.316]"
"BJ's Restaurant and Brewhouse",Chandler,"[33.3055925,-111.8968812]"
"On The Tracks Brewery",Carlsbad,"[33.13867788,-117.2735811]"
"Engrained Brewing Company",Springfield,"[39.76,-89.7178]"
"Druthers Brew Pub","Saratoga Springs","[43.08091327,-73.78625449]"
"The Craft Bar",Destin,"[30.223373,-85.8668]"
Uberbrew,Billings,"[45.78425,-108.49936]"
"Granite City Food & Brewery",Franklin,"[35.933685,-86.82152]"
"5 Seasons Brewing Llc",Alpharetta,"[34.0638,-84.2533]"
"Newport Beach Brewing Co.","Newport Beach","[33.614117,-117.92985]"
"Rocket Republic Brewing Company, Inc.",Madison,"[34.6731,-86.7735]"
"Dry Dock Brewing Co - South Dock",Aurora,"[39.653,-104.8119]"
"Three Notch'd Brewing Company",Harrisonburg,"[38.44874,-78.86577]"
