name,city,location
"Denver Chop House & Brewery",Denver,"[39.85380962,-104.6738076]"
"Earth Bread & Brewery",Philadelphia,"[40.059185,-75.19041]"
Copious,Columbus,"[39.95147,-82.99834]"
Kroger,Houston,"[29.977857,-95.490986]"
"Pisgah Brewing Company","Black Mountain","[35.60766154,-82.35853672]"
"Firetrucker Brewery",Ankeny,"[41.73002,-93.60989]"
"Wichita Brewing Company & Pizzeria",Wichita,"[37.69527,-97.26341]"
"Palmaz Vineyards",Napa,"[38.3232,-122.2244]"
"Gordon Biersch Brewery Restaurant",Broomfield,"[39.93066919,-105.1352119]"
"Cartel Coffee Lab",Scottsdale,"[33.49834,-111.92758]"
"Rock Bottom Restaurant & Brewery",Seattle,"[47.6091,-122.3342]"
"Wicked Weed Brewing",Asheville,"[35.5917,-82.5511]"
"Iron Hill Brewery & Restaurant",Phoenixville,"[40.13398,-75.51377]"
"Bj's Restaurant and Brewhouse",Phoenix,"[33.67719348,-111.9765937]"
"Total Wine More",Goodyear,"[33.46237,-112.35832]"
"Sufferfest Beer Co","San Jose","[37.315174,-121.866429]"
"The Post Brewing Company",Lafayette,"[39.994526,-105.091286]"
"Old Ox Brewery",Ashburn,"[39.02376615,-77.45480491]"
"Sun King Tap Room and Small-Batch Brewery",Fishers,"[39.928238,-86.02452]"
"Middle Ages Brewing Company",Syracuse,"[43.05102913,-76.16199431]"
"Blue Bee Cider LLC",Richmond,"[37.5256,-77.4414]"
"Alehouse On Winslow","Bainbridge Island","[47.6246,-122.5138]"
"Granite City Food & Brewery",Naperville,"[41.8029,-88.129329]"
"Anderson Valley Brewing Company",Boonville,"[39.00074292,-123.3567667]"
"BJ's Restaurant and Brewhouse",Frederick,"[39.383755,-77.402943]"
"Mayo Family Winery","Glen Ellen","[38.3705194,-122.5171231]"
"Urban Growler Brewing Company","Saint Paul","[44.97037,-93.19323]"
"Gizmo Brew Works",Raleigh,"[35.89589,-78.74511]"
"Barebottle Brewing Company","San Francisco","[37.7401129,-122.409035]"
"Atlas Brew Works",Washington,"[38.9149,-76.9814]"
"Burial Beer Co.",Asheville,"[35.588,-82.5538]"
"Granite City Food & Brewery",Wichita,"[37.7308,-97.4632]"
"Marble Brewery",Albuquerque,"[35.0928,-106.6467]"
"Preyer Brewing Company",Greensboro,"[36.07939157,-79.79394234]"
"Gordon Biersch Brewery Restaurant",Bolingbrook,"[41.71863909,-88.04074287]"
"Total Wine & More",Henderson,"[36.056609,-115.048332]"
"Fox and Hound English Pub",Lubbock,"[33.52071643,-101.9017878]"
"Mother's Brewing Company",Springfield,"[37.20754199,-93.29898171]"
"The Genesee Brew House",Rochester,"[43.1636,-77.6149]"
"Schram Vineyards",Waconia,"[44.84318145,-93.74558687]"
"Austin Street Brewery",Portland,"[43.70274921,-70.32015343]"
"Total Wine & More",Atlanta,"[33.927508,-84.344618]"
"Birdsong Brewing",Charlotte,"[35.2407,-80.8144]"
"5 Seasons Brewing",Atlanta,"[33.78434,-84.4191]"
"Prescott Brewing Company",Prescott,"[34.5419,-112.4715]"
"Woods Bar and Brewery",Oakland,"[37.807009,-122.270489]"
"Gordon Biersch Brewery Restaurant","Virginia Beach","[36.8433,-76.1347]"
"Reaver Beach Brewing Company","Virginia Beach","[36.78814335,-76.06032153]"
"Moosejaw Pizza & Dells Brewing Co","Wisconsin Dells","[43.5888,-89.7918]"
"Total Wine & More",Vancouver,"[45.65761,-122.58897]"
"Total Wine & More","Las Vegas","[36.1631,-115.2885]"
"Pinthouse Pizza",Austin,"[30.236082,-97.795906]"
"Nebraska Brewing Company",Papillion,"[41.13448407,-96.02715969]"
"Bon Marché Brasserie & Bar","San Francisco","[37.776778,-122.41688]"
"Brix City Brewing","Little Ferry","[40.85639,-74.0431]"
"Reverend Nat's Hard Cider",Portland,"[45.53599,-122.66411]"
"Bj's Restaurant and Brewhouse",Temple,"[31.09187671,-97.38579597]"
BevMo!,"San Luis Obispo","[35.2524,-120.6878]"
"Big Al Brewing",Seattle,"[47.51445567,-122.3526385]"
"Bartlett Hall","San Francisco","[37.786354,-122.40912]"
"Perennial Artisan Ales","Saint Louis","[38.545544,-90.26534]"
"BJ's Restaurant and Brewhouse",Gainesville,"[29.6596,-82.4135]"
"Zero One Ale House","San Angelo","[31.46244547,-100.4376887]"
"Rusty Nickel Brewing",Buffalo,"[42.8324,-78.7422]"
"Total Wine & More",Dallas,"[32.875763,-96.769597]"
"Gordon Biersch Brewery Restaurant","Kansas City","[39.097344,-94.58298]"
"Wasserhund Brewing Company","Virginia Beach","[36.8494,-76.0283]"
"Two22 Brew",Aurora,"[39.635204,-104.75914]"
"Pizza Box",Portland,"[45.5199111,-122.6564392]"
"Escutcheon Brewing Co.",Winchester,"[39.19538,-78.16305]"
"Fat Point Brewing","Punta Gorda","[26.942034,-82.02922]"
"Fall Brewing Co.","San Diego","[32.75998009,-117.1302984]"
"Granite City Food & Brewery",Northville,"[42.423885,-83.43549]"
"Culmination Brewing",Portland,"[45.52894,-122.64396]"
"The Lone Girl Brewing Company",Waunakee,"[43.19179,-89.45434]"
"Total Wine & More",Burnsville,"[44.74665,-93.28977]"
"Total Wine & More",Charlotte,"[35.302614,-80.748495]"
"Empirical Brewery",Chicago,"[41.975968,-87.675137]"
"Harmon Tap Room",Tacoma,"[47.26204115,-122.4458349]"
"Torched Hop Brewing Company",Atlanta,"[33.772327,-84.37923]"
"Big Dog's Draft House","Las Vegas","[36.24262,-115.235886]"
"BJ's Restaurant and Brewhouse",Orlando,"[28.37549264,-81.50220168]"
"Sin City Brewing Co.","Las Vegas","[36.1088524,-115.1696777]"
"The Bakers' Brewery LLC",Silverthorne,"[39.629753,-106.06746]"
"10 Barrel Brewing",Portland,"[45.5259,-122.6856]"
"West Sixth Brewing Company",Lexington,"[38.0594455,-84.49198723]"
"Bell's Brewery Inc",Galesburg,"[42.2843,-85.4539]"
"Gordon Biersch Brewery Restaurant",Phoenix,"[33.65442339,-111.9290972]"
"Tuckerman Brewing Co",Conway,"[43.9752,-71.1296]"
"Dos Desperados Brewery","San Marcos","[33.137132,-117.193487]"
"Cannon Brew Pub",Columbus,"[32.4664,-84.9935]"
"The Brewery",Louisville,"[38.24821076,-85.73074981]"
"Alameda Brewhouse",Portland,"[45.5485,-122.6136]"
"New Hope Winery","New Hope","[40.350922,-75.012533]"
"Some Brewing Company",York,"[43.15059686,-70.66592932]"
"Ursula Brewery",Aurora,"[39.74794063,-104.8372883]"
"Left Hand Brewing Co",Longmont,"[40.1586,-105.1155]"
"Fegley's Allentown Brew Works",Allentown,"[40.6013926,-75.47421813]"
"Montauk Brewing Company",Montauk,"[41.03671015,-71.94402705]"
"Coppertail Brewing Company",Tampa,"[27.95607195,-82.43028689]"
"Bozeman Brewing Company",Bozeman,"[45.684788,-111.024]"
"Diving Dog Brewhouse",Oakland,"[37.80769756,-122.2697725]"
Bevmo,Antioch,"[37.96173,-121.73561]"
"Pratt Street Ale House",Baltimore,"[39.2866,-76.618154]"
"Nectar Wine Lounge (reported Closed)",Burlingame,"[37.579006,-122.345822]"
"Pyramid Alehouse",Seattle,"[47.59157826,-122.3343515]"
"BJ'S Restaurant & Brewhouse","College Station","[30.6278,-96.3043]"
"Total Wine More","Redondo Beach","[33.86776,-118.35284]"
"Gordon Biersch","Myrtle Beach","[33.6686265,-78.93937318]"
"Crux Fermentation Project",Bend,"[44.05054,-121.30782]"
"Total Wine More",Gilbert,"[33.30696,-111.74324]"
"PA Wine & Spirits",Hatfield,"[40.29092518,-75.26610413]"
"Fordham Brewing Co.",Dover,"[39.154007,-75.48836]"
"Redhook Brewery",Woodinville,"[47.7329,-122.1499]"
"Ram Restaurant & Brewery",Puyallup,"[47.115047,-122.290318]"
"All About Brewing","El Cajon","[32.804488,-116.971242]"
"Fry's Marketplace",Phoenix,"[33.58129,-111.97913]"
"Mainstreet Pub",Melbourne,"[28.0784,-80.6091]"
"Summit Brewing Company","Saint Paul","[44.9143,-93.1404]"
"Bull City Burger and Brewery",Durham,"[35.99553937,-78.89989499]"
"Total Wine More","Boynton Beach","[26.53532,-80.09047]"
"Foothills Brewing","Winston Salem","[36.09752626,-80.25093734]"
"Oggi's Pizza & Brewing Co",Orange,"[33.827366,-117.8378]"
"Founders Brewing Co.","Grand Rapids","[42.958393,-85.673706]"
"Wilson Winery",Healdsburg,"[38.63925652,-122.9010508]"
"Corsair Artisan Distillery & Taproom",Nashville,"[36.16501,-86.79527]"
"Pearl Brewery","San Antonio","[29.443813,-98.47995]"
"Pacific Beach AleHouse","San Diego","[32.79425,-117.25526]"
"Argilla Brewing Company",Newark,"[39.707405,-75.6842]"
"BJ's Restaurant and Brewhouse",Tucson,"[32.2214,-110.8746]"
"Wapiti Colorado Pub","Estes Park","[40.37633418,-105.5259991]"
"Pismo Brewing Company","Pismo Beach","[35.14149,-120.640594]"
"McMenamins Queen Anne",Seattle,"[47.6257,-122.35213]"
"Total Wine & More",Brookfield,"[43.036555,-88.128037]"
"The Unknown Brewery",Charlotte,"[35.220505,-80.85754]"
"Black Sands Brewery","San Francisco","[37.771455,-122.433855]"
"Pale Fire Brewing Co.",Harrisonburg,"[38.44707325,-78.87199368]"
"Free State Brewing Company",Lawrence,"[38.97170321,-95.23576524]"
"Tired Hands Brewing Company",Ardmore,"[40.00852,-75.29362]"
"Beer Belly's Beverage","State College","[40.787525,-77.857124]"
"Granite City Food & Brewery","Kansas City","[39.123824,-94.825226]"
"Highland Water",Denver,"[39.692422,-104.891554]"
"Main Street Station Casino, Brewery & Hotel","Las Vegas","[36.174527,-115.144582]"
"Gravity Brewing",Louisville,"[39.977,-105.1292]"
"Beach City Brewery","Huntington Beach","[33.704205,-117.99508]"
"Oceanside Ale Works",Oceanside,"[33.21166604,-117.2727525]"
"Oak City Brewing",Knightdale,"[35.79379229,-78.47663467]"
"Max's Fanno Creek Brew Pub",Portland,"[45.42904102,-122.7739566]"
"Chino Valley Brewery",Ontario,"[34.04127,-117.61754]"
"Bj's Restaurant & Brewhouse",Mesquite,"[32.809719,-96.62306]"
"Smoky Mountain Brewery",Gatlinburg,"[35.70754,-83.52044]"
"Woodland Empire Ale Craft",Boise,"[43.616471,-116.208927]"
"Rock Bottom Brewery",Broomfield,"[39.88925351,-105.0693297]"
"Rock Bottom Brewery",Denver,"[39.7474795,-104.994972]"
"Brewery Bar III","Lone Tree","[39.554344,-104.8831]"
"Loowit Brewing Company",Vancouver,"[45.625195,-122.67368]"
"Rogue Ales Public House",Astoria,"[46.1967,-123.7973]"
"Hops Haven",Sheboygan,"[43.75886,-87.72299]"
"Thunder Canyon Brewery",Tucson,"[32.3405,-111.0127]"
"La Legendaria","San Antonio","[22.13076115,-101.0190167]"
"The Homebrewer","San Diego","[32.755108,-117.13119]"
"Fortside Brewing Company",Vancouver,"[45.63834,-122.60109]"
"Borderlands Brewing Company",Tucson,"[32.225517,-110.97023]"
"Pyramid Alehouse","Walnut Creek","[37.89925,-122.061844]"
"The Brewer's Cabinet",Reno,"[39.52055,-119.81728]"
"Three Floyds Brewery & Pub",Munster,"[41.53537437,-87.51645416]"
"Bear Republic Brewery",Healdsburg,"[38.61107363,-122.8713542]"
"BJ's Restaurant and Brewhouse","Elk Grove","[38.4195,-121.3969]"
"BJ's Restaurant and Brewhouse",Webster,"[29.545121,-95.132374]"
"Gresso's Restaurant & Bar",Columbus,"[39.94243031,-82.99705188]"
"Oggis Pizza & Brewing Co","Apple Valley","[34.471004,-117.24479]"
Subway,Milwaukee,"[43.059647,-87.914116]"
"Stone Cellar Brewpub",Appleton,"[44.2532,-88.4034]"
"Barley And Hops Grill & Microbrewery",Frederick,"[39.382034,-77.39959]"
"Mother Road Brewing Company",Flagstaff,"[35.19693,-111.65228]"
"Flossmoor Station Restaurant & Brewery",Flossmoor,"[41.54341748,-87.67874049]"
"Bootlegger's Homemade Wine",Gatlinburg,"[35.71148,-83.51991]"
"Mad Fox Brewing Company","Falls Church","[38.88636,-77.17721]"
"Hope Valley Brewing Co",Durham,"[35.9205,-78.9595]"
"Cool Springs Brewery",Franklin,"[35.9443,-86.81992]"
"Total Wine & More","Paradise Valley","[33.580005,-111.926293]"
"Platform Brewhouse",Cleveland,"[41.47992098,-81.71400137]"
"Ramblin Road Craft Brewery",Spokane,"[47.66405,-117.39479]"
"Total Wine & More",Sacramento,"[38.59629,-121.41646]"
"Perry Street Brewing",Spokane,"[47.646243,-117.389928]"
"Loveland Aleworks",Loveland,"[40.3955,-105.0775]"
"Double Shift Brewing Co","Kansas City","[39.0916,-94.5786]"
"Mike Hess Brewing","San Diego","[32.747669,-117.128426]"
"Lake Anne Brew House",Reston,"[38.96795,-77.34198]"
"Connolly's On Fifth",Charlotte,"[35.2277,-80.8415]"
"Blue Palms Brewhouse","Los Angeles","[34.101624,-118.32295]"
"Veterans United Craft Brewery",Jacksonville,"[30.2012,-81.5569]"
"Barrel Head Brewhouse","San Francisco","[37.775757,-122.446098]"
"Jc's Kitchen",Durham,"[35.99034,-78.89252]"
"Denver Beer Co.",Denver,"[39.758293,-105.007188]"
"Stem Ciders",Denver,"[39.761694,-104.98384]"
"BJ's Restaurant and Brewhouse",Wichita,"[37.6797,-97.2087]"
"Scotty's Brewhouse","Fort Wayne","[41.058647,-85.22204]"
"Magnolia Gastropub & Brewery","San Francisco","[37.770223,-122.445354]"
"Night Shift Brewing",Everett,"[42.40498,-71.06851]"
"Egan & Son's",Montclair,"[40.8176,-74.2118]"
"Atwater Brewery",Detroit,"[42.33716188,-83.01855308]"
"Total Wine More",Orlando,"[28.49666,-81.42882]"
"BJ's Restaurant and Brewhouse",Corona,"[33.8244,-117.5172]"
"BJ's Restaurant and Brewhouse","New Braunfels","[29.72967,-98.07594]"
"The Grumpy Troll Brew Pub and Pizzeria","Mount Horeb","[43.00811841,-89.73821353]"
"Blind Onion Pizza and Pub",Portland,"[45.53537,-122.62979]"
"Fate Brewing Company",Boulder,"[40.015041,-105.246272]"
"Total Wine More",Raleigh,"[35.90748,-78.78551]"
"Calistoga Inn Restaurant Brewery",Calistoga,"[38.57666,-122.57979]"
"Sequoia Brewing Company",Fresno,"[36.757757,-119.802251]"
"Fox Brewing","West Des Moines","[41.568626,-93.71905]"
"Brewer's Cask",Baltimore,"[39.27518204,-76.61217116]"
"Total Wine and More","San Antonio","[29.609572,-98.595519]"
"Bayne Brewing Company",Cornelius,"[35.478436,-80.89096]"
"Stickman Brews",Royersford,"[40.19566,-75.5337]"
